T+8,T+0,T-1_T-4_DIFF_MEAN,T-9_T-12_DIFF_MEAN,T-1_T-4_DIFF_DIFF_MEAN,T-1_T-4_MEAN,T-5_T-8_MEAN,T-9_T-12_MEAN,POPULATION,RAIN_2_MAX,RAIN_2_MEAN,RAIN_4_MAX,RAIN_4_MEAN,RAIN_5_MAX,RAIN_5_MEAN,RAIN_6_MAX,RAIN_6_MEAN,RAIN_7_MAX,RAIN_7_MEAN,RAIN_8_MAX,RAIN_8_MEAN,RAIN_9_MAX,RAIN_9_MEAN,RAIN_10_MAX,RAIN_10_MEAN,RAIN_11_MAX,RAIN_11_MEAN,TEMP_2_-4_-7_MIN,TEMP_2_-4_-7_MEAN,TEMP_2_-8_-12_MIN,TEMP_2_-8_-12_MEAN,TEMP_3_-4_-7_MIN,TEMP_3_-4_-7_MEAN,TEMP_3_-8_-12_MIN,TEMP_3_-8_-12_MEAN,TEMP_4_-4_-7_MIN,TEMP_4_-4_-7_MEAN,TEMP_4_-8_-12_MIN,TEMP_4_-8_-12_MEAN
-0.129181084,-0.124567474,0.001153402,-0.00768935,-0.021914648,-0.118800462,-0.080161477,-0.042387543,-0.623584534,0.306902219,0.203163517,0.294417181,0.186889874,0.326760563,0.170610837,0.304698516,0.185643401,0.291718157,0.178743533,0.301892509,0.178411277,0.298499431,0.177013652,0.297460709,0.178205223,0.300597021,0.175406358,-0.132780083,-0.079356847,-0.039419087,0.017012448,-0.038173952,0.183078322,-0.126278201,-0.055579147,-0.03995059,0.180834569,-0.127755139,-0.057854518
-0.115340254,-0.121107266,-0.008073818,-0.00461361,0.009227221,-0.117070358,-0.097174164,-0.052479816,-0.619267046,0.306902219,0.228327855,0.294417181,0.216169332,0.326760563,0.213193613,0.304698516,0.21807692,0.291718157,0.204090878,0.301892509,0.210705999,0.298499431,0.209530862,0.297460709,0.208865091,0.300597021,0.207984264,-0.132780083,-0.095954357,-0.039419087,-8.30E-04,0.073772488,0.211064932,-0.126278201,-0.053942259,0.081868008,0.211289218,-0.127755139,-0.055014437
-0.124567474,-0.132641292,-0.001922337,-0.009611688,0.008073818,-0.122260669,-0.102364475,-0.059976932,-0.614949557,0.306902219,0.247637633,0.294417181,0.234928236,0.326760563,0.238665455,0.304698516,0.238427384,0.291718157,0.228021028,0.301892509,0.232767588,0.298499431,0.23094383,0.297460709,0.230796527,0.300597021,0.230485245,-0.157676349,-0.102178423,-0.132780083,-0.025726141,0.073772488,0.189632884,-0.126278201,-0.013806922,0.081868008,0.189537036,-0.127755139,-0.014707606
-0.130334487,-0.106113033,-0.00153787,-0.007304883,-0.007497117,-0.126585929,-0.114186851,-0.064302192,-0.610632068,0.36400986,0.261914544,0.38288217,0.257044483,0.398465289,0.256591637,0.389189842,0.259550215,0.425592965,0.26148973,0.396629201,0.256451761,0.397720637,0.255749132,0.400447792,0.256543298,0.398551711,0.254973918,-0.157676349,-0.134854772,-0.132780083,-0.022821577,0.073772488,0.198698616,-0.126278201,0.038849928,0.081868008,0.198695657,-0.127755139,0.037087496
-0.14071511,-0.106113033,0.00615148,-0.0153787,0.011534026,-0.121107266,-0.118800462,-0.080161477,-0.606314369,0.36400986,0.255238291,0.38288217,0.257182999,0.398465289,0.265385746,0.389189842,0.261740871,0.425592965,0.26949985,0.396629201,0.261148394,0.397720637,0.260886884,0.400447792,0.261539701,0.398551711,0.260581258,-0.18879668,-0.149377594,-0.132780083,-0.048962656,0.073772488,0.177013652,-0.092134171,0.128035824,0.081868008,0.178205223,-0.096144569,0.125438741
-0.102652826,-0.122260669,0.004998078,-0.017301038,0.005767013,-0.116493656,-0.117070358,-0.097174164,-0.601996881,0.36400986,0.181491372,0.38288217,0.201922062,0.398465289,0.226385593,0.389189842,0.210335177,0.425592965,0.221559674,0.396629201,0.212591769,0.397720637,0.21447193,0.400447792,0.212950641,0.398551711,0.213534767,-0.18879668,-0.143672199,-0.132780083,-0.082572614,0.102871265,0.209530862,-0.038173952,0.161217155,0.101452822,0.208865091,-0.03995059,0.161041256
-0.100346021,-0.124567474,0.003460208,-0.01076509,-0.021337948,-0.116782007,-0.122260669,-0.102364475,-0.597679392,0.36400986,0.159819228,0.38288217,0.178011715,0.398465289,0.193456255,0.389189842,0.184286531,0.425592965,0.188025158,0.396629201,0.183577943,0.397720637,0.185915384,0.400447792,0.183677431,0.398551711,0.183673395,-0.215767635,-0.158195021,-0.157676349,-0.108298755,0.188523138,0.23094383,0.073772488,0.189426199,0.189178566,0.230796527,0.081868008,0.189321939
-0.125720877,-0.125720877,-0.00615148,-0.001922338,-0.001153402,-0.114763552,-0.126585929,-0.114186851,-0.593361903,0.83032046,0.276396878,0.819719276,0.287220991,0.796312341,0.292918018,0.816782862,0.291184786,0.819422594,0.286482565,0.811054643,0.287184304,0.810688747,0.289157412,0.812721744,0.286745919,0.808504807,0.286161669,-0.215767635,-0.163381743,-0.157676349,-0.112863071,0.188523138,0.255749132,0.073772488,0.211406194,0.189178566,0.256543298,0.081868008,0.21112177
-0.141868512,-0.129181084,-0.006535948,0.001153402,0.007497116,-0.119665513,-0.121107266,-0.118800462,-0.589044415,0.83032046,0.191967954,0.819719276,0.193123054,0.796312341,0.183630298,0.816782862,0.193485529,0.819422594,0.185579147,0.811054643,0.186831869,0.810688747,0.188143587,0.812721744,0.18676204,0.808504807,0.18468108,-0.269709544,-0.183609959,-0.18879668,-0.145643154,0.188523138,0.260886884,0.073772488,0.205541177,0.189178566,0.261539701,0.081868008,0.205364396
-0.137254902,-0.115340254,-0.002306805,-0.008073818,-5.77E-04,-0.125432526,-0.116493656,-0.117070358,-0.583861408,0.83032046,0.160846344,0.819719276,0.152406206,0.796312341,0.130449311,0.816782862,0.149813579,0.819422594,0.148685184,0.811054643,0.143324515,0.810688747,0.14340948,0.812721744,0.144549487,0.808504807,0.140704036,-0.269709544,-0.19813278,-0.18879668,-0.134024896,0.018181508,0.21447193,0.073772488,0.182379187,0.01015124,0.212950641,0.081868008,0.183465674
